Year,AvgClose,Open,High,Low,Close,PercentChange
2022,7.23,5.89,8.16,5.88,6.85,0.1551
2021,5.75,4.84,7.32,4.84,5.93,0.2257
2020,3.64,3.92,4.84,3.06,4.84,0.2482
2019,3.85,3.76,4.55,3.47,3.88,0.034
2018,3.7,3.53,4.09,3.4,3.75,0.0691
2017,3.62,3.56,4.02,3.37,3.51,-0.0036
2016,3.6,3.52,4.38,3.11,3.52,-0.0188
2015,3.78,3.96,4.41,3.48,3.59,-0.0963
2014,4.16,4.21,5.19,3.21,3.97,-0.0592
2013,5.69,6.91,7.41,4.12,4.22,-0.3956
2012,6.92,6.59,8.31,5.52,6.98,0.08
2011,6.8,6.21,7.87,5.79,6.47,0.0278
2010,4.31,4.19,6.29,3.3,6.29,0.5175
2009,3.75,4.12,4.5,3.06,4.15,0.0184
2008,5.3,4.63,7.63,3.09,4.07,-0.1065
2007,3.76,3.9,4.56,3.1,4.56,0.1672
2006,2.63,2.2,3.9,2.05,3.9,0.8088
2005,2.11,2.02,2.6,1.91,2.16,0.0537
2004,2.54,2.53,3.31,1.97,2.05,-0.1677
2003,2.33,2.37,2.56,2.06,2.46,0.0435
2002,2.29,2.09,2.93,1.96,2.36,0.128
2001,2.11,2.27,2.34,1.85,2.09,-0.0982
2000,2.12,2.01,2.51,1.75,2.32,0.1333
1999,2.12,2.15,2.32,1.86,2.05,-0.0422
1998,2.38,2.63,2.82,1.97,2.14,-0.1943
1997,2.75,2.59,3.13,2.29,2.65,0.0261
1996,3.67,3.73,5.05,2.58,2.58,-0.3006
1995,2.81,2.29,3.69,2.29,3.69,0.5985
1994,2.5,3.07,3.1,2.12,2.31,-0.2451
1993,2.39,2.16,3.06,2.12,3.06,0.4134
1992,2.39,2.51,2.79,2.05,2.17,-0.1392
1991,2.47,2.32,2.63,2.2,2.52,0.0852
1990,2.52,2.38,2.92,2.19,2.32,-0.0334
1989,2.54,2.81,2.9,2.17,2.4,-0.1573
1988,2.55,1.88,3.54,1.88,2.85,0.5399
1987,1.73,1.57,2.02,1.43,1.85,0.1547
1986,2.01,2.48,2.49,1.55,1.6,-0.3555
1985,2.54,2.71,2.86,2.15,2.48,-0.078
1984,3.14,3.3,3.62,2.65,2.69,-0.2016
1983,3.18,2.44,3.69,2.43,3.37,0.3779
1982,2.55,2.72,2.84,2.14,2.45,-0.0952
1981,3.29,3.82,3.82,2.63,2.71,-0.2844
1980,3.15,2.87,4.06,2.58,3.78,0.3068
1979,2.69,2.32,3.19,2.28,2.89,0.2481
1978,2.37,2.23,2.7,2.14,2.32,0.0358
1977,2.3,2.55,2.65,1.81,2.24,-0.1277
1976,2.73,2.62,3.09,2.32,2.57,-0.0191
1975,2.89,3.47,3.51,2.49,2.62,-0.2348
1974,3.21,2.74,3.95,2.52,3.42,0.2716
1973,2.17,1.52,3.48,1.51,2.69,0.7367
1972,1.3,1.22,1.63,1.19,1.55,0.2543
1971,1.37,1.57,1.6,1.13,1.23,-0.2066
1970,1.37,1.2,1.57,1.2,1.56,0.2837
1969,1.21,1.17,1.31,1.15,1.21,0.0276
1968,1.14,1.18,1.23,1.01,1.18,-0.0036
1967,1.28,1.42,1.44,1.12,1.18,-0.1669
1966,1.34,1.26,1.51,1.24,1.42,0.1387
1965,1.25,1.26,1.35,1.14,1.25,-0.0127
1964,1.22,1.19,1.27,1.17,1.26,0.0516
1963,1.19,1.13,1.27,1.12,1.2,0.0666
1962,1.1,1.11,1.17,1.04,1.13,0.0181
1961,1.13,1.1,1.19,1.08,1.11,0.0119
1960,1.14,1.14,1.22,1.01,1.09,-0.0387