Date,Year,Month,Observed Flux,Adjusted Flux,Absolute Flux
2004-10-01,2004,10,137.56,135.6,122.04
2004-11-01,2004,11,115.98,113.46,102.12
2004-12-01,2004,12,95.66,92.69,83.42
2005-01-01,2005,1,102.86,99.59,89.63
2005-02-01,2005,2,97.3,94.95,85.45
2005-03-01,2005,3,90.04,89.14,80.22
2005-04-01,2005,4,85.92,86.55,77.9
2005-05-01,2005,5,101.65,103.9,93.5
2005-06-01,2005,6,94.09,97.06,87.36
2005-07-01,2005,7,100.64,103.93,93.54
2005-08-01,2005,8,98.24,100.66,90.6
2005-09-01,2005,9,109.55,110.77,99.69
2005-10-01,2005,10,76.71,76.21,68.6
2005-11-01,2005,11,86.38,84.47,76.02
2005-12-01,2005,12,90.85,88.01,79.21
2006-01-01,2006,1,83.32,80.67,72.6
2006-02-01,2006,2,76.52,74.67,67.2
2006-03-01,2006,3,75.5,74.75,67.28
2006-04-01,2006,4,89.27,89.9,80.91
2006-05-01,2006,5,80.83,82.62,74.36
2006-06-01,2006,6,76.68,79.1,71.18
2006-07-01,2006,7,75.88,78.36,70.53
2006-08-01,2006,8,79.59,81.58,73.43
2006-09-01,2006,9,78.02,78.87,70.99
2006-10-01,2006,10,74.43,73.95,66.55
2006-11-01,2006,11,86.43,84.56,76.1
2006-12-01,2006,12,90.39,87.58,78.83
2007-01-01,2007,1,83.76,81.09,72.98
2007-02-01,2007,2,77.65,75.76,68.18
2007-03-01,2007,3,72.24,71.5,64.36
2007-04-01,2007,4,72.36,72.87,65.59
2007-05-01,2007,5,74.36,75.98,68.38
2007-06-01,2007,6,74.07,76.39,68.76
2007-07-01,2007,7,71.48,73.83,66.44
2007-08-01,2007,8,69.03,70.76,63.68
2007-09-01,2007,9,66.98,67.71,60.94
2007-10-01,2007,10,67.69,67.27,60.54
2007-11-01,2007,11,69.39,67.88,61.09
2007-12-01,2007,12,78.21,75.77,68.2
2008-01-01,2008,1,74.02,71.66,64.49
2008-02-01,2008,2,71.03,69.33,62.39
2008-03-01,2008,3,72.99,72.3,65.07
2008-04-01,2008,4,70.15,70.65,63.59
2008-05-01,2008,5,68.32,69.86,62.87
2008-06-01,2008,6,65.85,67.94,61.14
2008-07-01,2008,7,65.67,67.82,61.03
2008-08-01,2008,8,66.17,67.81,61.03
2008-09-01,2008,9,67.0,67.7,60.93
2008-10-01,2008,10,68.21,67.75,60.98
2008-11-01,2008,11,68.53,67.02,60.32
2008-12-01,2008,12,69.05,66.89,60.2
2009-01-01,2009,1,69.7,67.48,60.73
2009-02-01,2009,2,69.85,68.17,61.35
2009-03-01,2009,3,69.1,68.42,61.57
2009-04-01,2009,4,69.61,70.11,63.1
2009-05-01,2009,5,70.35,71.91,64.73
2009-06-01,2009,6,68.57,70.74,63.66
2009-07-01,2009,7,68.19,70.41,63.38
2009-08-01,2009,8,67.36,69.04,62.13
2009-09-01,2009,9,70.32,71.05,63.95
2009-10-01,2009,10,72.14,71.66,64.5
2009-11-01,2009,11,73.66,72.05,64.85
2009-12-01,2009,12,76.84,74.44,67.0
2010-01-01,2010,1,81.31,78.71,70.84
2010-02-01,2010,2,84.74,82.7,74.42
2010-03-01,2010,3,82.96,82.12,73.91
2010-04-01,2010,4,75.72,76.24,68.61
2010-05-01,2010,5,73.63,75.26,67.73
2010-06-01,2010,6,72.38,74.67,67.2
2010-07-01,2010,7,79.6,82.2,73.98
2010-08-01,2010,8,79.16,81.15,73.04
2010-09-01,2010,9,80.95,81.81,73.63
2010-10-01,2010,10,81.42,80.89,72.79
2010-11-01,2010,11,82.56,80.77,72.7
2010-12-01,2010,12,84.19,81.59,73.43
2011-01-01,2011,1,83.39,80.73,72.65
2011-02-01,2011,2,94.55,92.26,83.03
2011-03-01,2011,3,124.26,122.91,110.61
2011-04-01,2011,4,112.85,113.61,102.25
2011-05-01,2011,5,95.68,97.79,88.0
2011-06-01,2011,6,95.86,98.88,88.99
2011-07-01,2011,7,94.34,97.43,87.69
2011-08-01,2011,8,101.61,104.16,93.74
2011-09-01,2011,9,135.27,136.68,123.01
2011-10-01,2011,10,137.4,136.52,122.87
2011-11-01,2011,11,153.5,150.23,135.21
2011-12-01,2011,12,141.46,137.07,123.36
2012-01-01,2012,1,134.79,130.49,117.44
2012-02-01,2012,2,106.86,104.29,93.85
2012-03-01,2012,3,115.71,114.53,103.07
2012-04-01,2012,4,113.26,114.14,102.72
2012-05-01,2012,5,121.4,124.12,111.71
2012-06-01,2012,6,120.4,124.19,111.78
2012-07-01,2012,7,137.61,142.1,127.9
2012-08-01,2012,8,115.86,118.75,106.88
2012-09-01,2012,9,123.4,124.7,112.22
2012-10-01,2012,10,123.07,122.22,109.99
2012-11-01,2012,11,121.15,118.45,106.61
2012-12-01,2012,12,108.26,104.87,94.38
2013-01-01,2013,1,126.83,122.78,110.5
2013-02-01,2013,2,104.41,101.9,91.71
2013-03-01,2013,3,111.36,110.22,99.2
2013-04-01,2013,4,124.95,125.84,113.26
2013-05-01,2013,5,131.43,134.33,120.9
2013-06-01,2013,6,110.74,114.25,102.82
2013-07-01,2013,7,115.53,119.29,107.36
2013-08-01,2013,8,114.9,117.75,105.97
2013-09-01,2013,9,102.83,103.91,93.51
2013-10-01,2013,10,132.86,131.92,118.73
2013-11-01,2013,11,148.78,145.55,131.0
2013-12-01,2013,12,148.1,143.49,129.14
2014-01-01,2014,1,162.69,157.5,141.75
2014-02-01,2014,2,170.13,166.01,149.41
2014-03-01,2014,3,150.5,148.97,134.07
2014-04-01,2014,4,143.94,144.92,130.42
2014-05-01,2014,5,130.11,132.95,119.65
2014-06-01,2014,6,122.37,126.22,113.6
2014-07-01,2014,7,137.85,142.36,128.13
2014-08-01,2014,8,124.56,127.67,114.9
2014-09-01,2014,9,146.57,148.12,133.3
2014-10-01,2014,10,154.99,153.91,138.52
2014-11-01,2014,11,155.74,152.3,137.07
2014-12-01,2014,12,159.02,154.07,138.67
2015-01-01,2015,1,142.0,137.48,123.73
2015-02-01,2015,2,128.92,125.77,113.19
2015-03-01,2015,3,126.89,125.58,113.03
2015-04-01,2015,4,129.05,129.93,116.94
2015-05-01,2015,5,120.05,122.65,110.39
2015-06-01,2015,6,128.54,132.6,119.34
2015-07-01,2015,7,107.0,110.5,99.45
2015-08-01,2015,8,105.93,108.59,97.73
2015-09-01,2015,9,101.99,103.04,92.73
2015-10-01,2015,10,104.0,103.3,92.97
2015-11-01,2015,11,109.68,107.32,96.59
2015-12-01,2015,12,112.54,109.02,98.12
2016-01-01,2016,1,103.64,100.33,90.3
2016-02-01,2016,2,103.71,101.17,91.05
2016-03-01,2016,3,91.43,90.5,81.44
2016-04-01,2016,4,93.45,94.12,84.7
2016-05-01,2016,5,93.36,95.47,85.91
2016-06-01,2016,6,81.95,84.55,76.09
2016-07-01,2016,7,86.31,89.12,80.22
2016-08-01,2016,8,85.15,87.25,78.53
2016-09-01,2016,9,87.45,88.39,79.54
2016-10-01,2016,10,86.15,85.61,77.05
2016-11-01,2016,11,78.58,76.85,69.16
2016-12-01,2016,12,75.29,72.94,65.65
2017-01-01,2017,1,77.37,74.91,67.42
2017-02-01,2017,2,76.95,75.11,67.59
2017-03-01,2017,3,74.69,73.95,66.56
2017-04-01,2017,4,80.91,81.46,73.31
2017-05-01,2017,5,73.6,75.25,67.73
2017-06-01,2017,6,74.83,77.19,69.47
2017-07-01,2017,7,77.58,80.11,72.1
2017-08-01,2017,8,78.25,80.18,72.16
2017-09-01,2017,9,95.49,96.55,86.9
2017-10-01,2017,10,76.39,75.9,68.31
2017-11-01,2017,11,72.28,70.7,63.62
2017-12-01,2017,12,71.7,69.46,62.52
2018-01-01,2018,1,70.01,67.78,61.0
2018-02-01,2018,2,71.63,69.96,62.97
2018-03-01,2018,3,68.26,67.58,60.82
2018-04-01,2018,4,69.97,70.45,63.41
2018-05-01,2018,5,70.95,72.53,65.27
2018-06-01,2018,6,72.66,74.95,67.46
2018-07-01,2018,7,69.61,71.88,64.69
2018-08-01,2018,8,69.05,70.78,63.7
2018-09-01,2018,9,68.17,68.9,62.01
2018-10-01,2018,10,69.56,69.12,62.2
2018-11-01,2018,11,69.02,67.52,60.77
2018-12-01,2018,12,70.05,67.86,61.07
2019-01-01,2019,1,71.58,69.29,62.36
2019-02-01,2019,2,70.59,68.86,61.98
2019-03-01,2019,3,71.52,70.78,63.7
2019-04-01,2019,4,72.47,72.95,65.66
2019-05-01,2019,5,71.32,72.88,65.59
2019-06-01,2019,6,68.13,70.29,63.25
2019-07-01,2019,7,67.25,69.44,62.49
2019-08-01,2019,8,67.05,68.75,61.87
2019-09-01,2019,9,68.0,68.73,61.86
2019-10-01,2019,10,67.46,67.04,60.34
2019-11-01,2019,11,70.18,68.66,61.8
2019-12-01,2019,12,70.93,68.72,61.85
2020-01-01,2020,1,72.32,70.0,63.01
2020-02-01,2020,2,70.9,69.19,62.27
2020-03-01,2020,3,70.19,69.49,62.54
2020-04-01,2020,4,69.56,70.07,63.06
2020-05-01,2020,5,69.21,70.76,63.69
2020-06-01,2020,6,69.7,71.91,64.71
2020-07-01,2020,7,69.47,71.73,64.56
2020-08-01,2020,8,71.66,73.45,66.1
2020-09-01,2020,9,70.56,71.29,64.16
2020-10-01,2020,10,74.59,74.09,66.68
2020-11-01,2020,11,90.11,88.1,79.29
2020-12-01,2020,12,87.28,84.56,76.1
2021-01-01,2021,1,76.07,73.65,66.29
2021-02-01,2021,2,74.32,72.53,65.28
2021-03-01,2021,3,76.48,75.71,68.13
2021-04-01,2021,4,74.74,75.29,67.76
2021-05-01,2021,5,75.64,77.34,69.61
2021-06-01,2021,6,79.81,82.33,74.1
2021-07-01,2021,7,80.97,83.62,75.25
2021-08-01,2021,8,77.93,79.85,71.86
2021-09-01,2021,9,87.4,88.35,79.51
2021-10-01,2021,10,90.05,89.44,80.49
2021-11-01,2021,11,86.57,84.69,76.22
2021-12-01,2021,12,102.94,99.72,89.74
2022-01-01,2022,1,104.05,100.74,90.66
2022-02-01,2022,2,109.15,106.47,95.82
2022-03-01,2022,3,117.79,116.62,104.95
2022-04-01,2022,4,130.63,131.55,118.4
2022-05-01,2022,5,133.98,136.94,123.25
2022-06-01,2022,6,116.07,119.74,107.76
